Comunidad autónoma,Grupo,Año,Mes,IPC
"Asturias, Principado de",Vestido y calzado,2020,Enero,93.686
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2020,Mayo,97.678
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2020,Abril,97.715
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2020,Marzo,100.205
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2020,Febrero,102.618
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2020,Enero,104.187
"Asturias, Principado de","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Mayo,100.847
"Asturias, Principado de","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Abril,100.878
"Asturias, Principado de","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Marzo,100.782
"Asturias, Principado de","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Febrero,100.255
"Asturias, Principado de","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Enero,99.575
"Asturias, Principado de",Sanidad,2020,Mayo,100.733
"Asturias, Principado de",Sanidad,2020,Abril,100.71
"Asturias, Principado de",Sanidad,2020,Marzo,100.663
"Asturias, Principado de",Sanidad,2020,Febrero,100.628
"Asturias, Principado de",Sanidad,2020,Enero,100.19
"Asturias, Principado de",Transporte,2020,Mayo,101.14
"Asturias, Principado de",Transporte,2020,Abril,101.701
"Asturias, Principado de",Transporte,2020,Marzo,105.171
"Asturias, Principado de",Transporte,2020,Febrero,108.66
"Asturias, Principado de",Transporte,2020,Enero,109.423
"Asturias, Principado de",Comunicaciones,2020,Mayo,104.237
"Asturias, Principado de",Comunicaciones,2020,Abril,104.373
"Asturias, Principado de",Comunicaciones,2020,Marzo,104.544
"Asturias, Principado de",Comunicaciones,2020,Febrero,103.314
"Asturias, Principado de",Comunicaciones,2020,Enero,103.35
"Asturias, Principado de",Ocio y cultura,2020,Mayo,97.193
"Asturias, Principado de",Ocio y cultura,2020,Abril,98.523
"Asturias, Principado de",Ocio y cultura,2020,Marzo,97.737
"Asturias, Principado de",Ocio y cultura,2020,Febrero,98.11
"Asturias, Principado de",Ocio y cultura,2020,Enero,97.813
"Asturias, Principado de",Enseñanza,2020,Mayo,99.609
"Asturias, Principado de",Enseñanza,2020,Abril,99.609
"Asturias, Principado de",Enseñanza,2020,Marzo,99.591
"Asturias, Principado de",Enseñanza,2020,Febrero,99.591
"Asturias, Principado de",Enseñanza,2020,Enero,99.591
"Asturias, Principado de",Restaurantes y hoteles,2020,Mayo,106.653
"Asturias, Principado de",Restaurantes y hoteles,2020,Abril,106.168
"Asturias, Principado de",Restaurantes y hoteles,2020,Marzo,105.536
"Asturias, Principado de",Restaurantes y hoteles,2020,Febrero,105.106
"Asturias, Principado de",Restaurantes y hoteles,2020,Enero,104.979
"Asturias, Principado de",Otros bienes y servicios ,2020,Mayo,105.984
"Asturias, Principado de",Otros bienes y servicios ,2020,Abril,106.161
"Asturias, Principado de",Otros bienes y servicios ,2020,Marzo,105.966
"Asturias, Principado de",Otros bienes y servicios ,2020,Febrero,105.855
"Asturias, Principado de",Otros bienes y servicios ,2020,Enero,105.397
"Balears, Illes",Alimentos y bebidas no alcohólicas,2020,Mayo,106.229
